time,tags,id,score,temp C,x mm,y mm
01:52.2,sighter,MS1,5,27,157,63
01:53.1,,L1,X,27,-20,-8
01:53.5,sighter,RS1,5,27,-251,-9
01:54.1,,M1,X,27,-7,48
01:55.1,,L2,X,27,-39,-8
01:55.5,sighter,RS2,5,27,-119,-103
01:56.5,,M2,5,27,-113,-69
01:57.4,,L3,4,27,364,50
01:58.3,,R1,5,27,238,91
01:58.6,,M3,5,27,-158,-4
01:59.5,,L4,5,27,-145,140
02:00.5,,R2,6,27,70,-35
02:01.2,,M4,5,27,204,-67
02:02.2,,L5,5,27,152,-42
02:03.0,,R3,4,27,368,54
02:03.2,,M5,4,27,-249,-142
02:04.2,,L6,X,27,-28,45
02:05.0,,R4,5,27,-195,-59
02:05.4,,M6,5,27,-144,-13
02:06.0,,L7,6,27,-1,120
02:06.5,,R5,4,27,94,303
02:07.1,,M7,6,27,67,18
02:08.0,,L8,5,27,190,115
02:08.6,,R6,5,27,180,34
02:09.2,,M8,X,27,-18,-26
02:10.2,,L9,X,27,57,-25
02:10.5,,R7,6,27,-100,82
02:11.1,,M9,4,28,248,90
02:12.2,,L10,X,28,-3,-67
02:13.3,,R8,5,28,-142,-5
02:14.0,,M10,5,28,-135,-92
02:15.5,,R9,6,28,-66,20
02:16.0,,R10,6,28,-80,72
02:17.2,,M11,5,28,-126,127
